{'layer': 0, 'num': 0, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z0'}
{'layer': 0, 'num': 1, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z1'}
{'layer': 0, 'num': 2, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z2'}
{'layer': 0, 'num': 3, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z3'}
{'layer': 0, 'num': 4, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z4'}
{'layer': 0, 'num': 5, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z5'}
{'layer': 0, 'num': 6, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z6'}
{'layer': 0, 'num': 7, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z7'}
{'layer': 0, 'num': 8, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z8'}
{'layer': 0, 'num': 9, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z9'}
{'layer': 0, 'num': 10, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z10'}
{'layer': 0, 'num': 11, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z11'}
{'layer': 0, 'num': 12, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z12'}
{'layer': 0, 'num': 13, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z13'}
{'layer': 0, 'num': 14, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z14'}
{'layer': 0, 'num': 15, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z15'}
{'layer': 0, 'num': 16, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z16'}
{'layer': 0, 'num': 17, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z17'}
{'layer': 0, 'num': 18, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z18'}
{'layer': 0, 'num': 19, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z19'}
{'layer': 0, 'num': 20, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z20'}
{'layer': 0, 'num': 21, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z21'}
{'layer': 0, 'num': 22, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z22'}
{'layer': 0, 'num': 23, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z23'}
{'layer': 0, 'num': 24, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z24'}
{'layer': 0, 'num': 25, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z25'}
{'layer': 0, 'num': 26, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z26'}
{'layer': 0, 'num': 27, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z27'}
{'layer': 0, 'num': 28, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z28'}
{'layer': 0, 'num': 29, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z29'}
{'layer': 0, 'num': 30, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z30'}
{'layer': 0, 'num': 31, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z31'}
{'layer': 0, 'num': 32, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z32'}
{'layer': 0, 'num': 33, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z33'}
{'layer': 0, 'num': 34, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z34'}
{'layer': 0, 'num': 35, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z35'}
{'layer': 0, 'num': 36, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z36'}
{'layer': 0, 'num': 37, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z37'}
{'layer': 0, 'num': 38, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z38'}
{'layer': 0, 'num': 39, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z39'}
{'layer': 0, 'num': 40, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z40'}
{'layer': 0, 'num': 41, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z41'}
{'layer': 0, 'num': 42, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z42'}
{'layer': 0, 'num': 43, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z43'}
{'layer': 0, 'num': 44, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z44'}
{'layer': 0, 'num': 45, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z45'}
{'layer': 0, 'num': 46, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z46'}
{'layer': 0, 'num': 47, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z47'}
{'layer': 0, 'num': 48, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z48'}
{'layer': 0, 'num': 49, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z49'}
{'layer': 0, 'num': 50, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z50'}
{'layer': 0, 'num': 51, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z51'}
{'layer': 0, 'num': 52, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z52'}
{'layer': 0, 'num': 53, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z53'}
{'layer': 0, 'num': 54, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z54'}
{'layer': 0, 'num': 55, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z55'}
{'layer': 0, 'num': 56, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z56'}
{'layer': 0, 'num': 57, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z57'}
{'layer': 0, 'num': 58, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z58'}
{'layer': 0, 'num': 59, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z59'}
{'layer': 0, 'num': 60, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z60'}
{'layer': 0, 'num': 61, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z61'}
{'layer': 0, 'num': 62, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z62'}
{'layer': 0, 'num': 63, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z63'}
{'layer': 0, 'num': 64, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z64'}
{'layer': 0, 'num': 65, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z65'}
{'layer': 0, 'num': 66, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z66'}
{'layer': 0, 'num': 67, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z67'}
{'layer': 0, 'num': 68, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z68'}
{'layer': 0, 'num': 69, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z69'}
{'layer': 0, 'num': 70, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z70'}
{'layer': 0, 'num': 71, 'type': 'INPUT', 'fanin': 1, 'inputs': None, 'output': 'z71'}
